2,0,1,1,0.75
2,0,2,1,0.725
2,0,3,1,0.825
2,0,4,1,1.06
2,0,5,1,1.375
2,0,6,1,0.81
2,0,7,1,1.315
2,0,8,1,0.745
2,0,9,1,0.815
2,0,10,1,0.81
2,0,11,1,0.745
2,0,12,1,0.805
2,0,13,1,0.77
2,0,14,1,0.76
2,0,15,1,0.785
2,0,16,1,0.725
2,0,1,2,0.825
2,0,2,2,0.815
2,0,3,2,0.815
2,0,4,2,0.8
2,0,5,2,0.73
2,0,6,2,0.755
2,0,7,2,0.775
2,0,8,2,0.69
2,0,9,2,0.83
2,0,10,2,0.81
2,0,11,2,0.82
2,0,12,2,0.79
2,0,13,2,0.845
2,0,14,2,0.79
2,0,15,2,0.835
2,0,16,2,0.81
2,0,17,2,0.83
2,0,18,2,0.755
2,1,1,1,0.445
2,1,2,1,0.58
2,1,3,1,0.54
2,1,4,1,0.55
2,1,5,1,0.58
2,1,6,1,0.545
2,1,7,1,0.555
2,1,8,1,0.575
2,1,9,1,0.555
2,1,10,1,0.635
2,1,11,1,0.55
2,1,12,1,0.585
2,1,13,1,0.565
2,1,14,1,0.53
2,1,15,1,0.58
2,1,16,1,0.52
2,1,17,1,0.54
2,1,18,1,0.55
2,1,19,1,0.515
2,1,20,1,0.525
2,1,21,1,0.52
2,1,22,1,0.535
2,1,23,1,0.51
2,1,24,1,0.59
2,1,25,1,0.545
2,1,26,1,0.56
2,1,1,2,0.39
2,1,2,2,0.58
2,1,3,2,0.59
2,1,4,2,0.565
2,1,5,2,0.555
2,1,6,2,0.58
2,1,7,2,0.545
2,1,8,2,0.595
2,1,9,2,0.525
2,1,10,2,0.56
2,1,11,2,0.565
2,1,12,2,0.57
2,1,13,2,0.6
2,1,14,2,0.53
2,1,15,2,0.59
2,1,16,2,0.535
2,1,17,2,0.54
2,1,18,2,0.58
2,1,19,2,0.575
2,1,20,2,0.605
2,1,21,2,0.54
2,1,22,2,0.525
2,1,23,2,0.575
2,1,24,2,0.585
2,1,25,2,0.58
2,1,26,2,0.495
2,2,1,1,0.51
2,2,2,1,0.5
2,2,3,1,0.525
2,2,4,1,0.495
2,2,5,1,0.525
2,2,6,1,0.54
2,2,7,1,0.485
2,2,8,1,0.505
2,2,9,1,0.525
